"name"	"ID"	"cand16_harsh_vs_cand16_pbs_p.val"	"cand16_harsh_vs_parental_harsh_p.val"	"cand16_harsh_vs_parental_pbs_p.val"	"cand16_pbs_vs_parental_harsh_p.val"	"cand16_pbs_vs_parental_pbs_p.val"	"parental_harsh_vs_parental_pbs_p.val"	"cand16_harsh_vs_cand16_pbs_p.adj"	"cand16_harsh_vs_parental_harsh_p.adj"	"cand16_harsh_vs_parental_pbs_p.adj"	"cand16_pbs_vs_parental_harsh_p.adj"	"cand16_pbs_vs_parental_pbs_p.adj"	"parental_harsh_vs_parental_pbs_p.adj"	"cand16_harsh_vs_cand16_pbs_significant"	"cand16_harsh_vs_parental_harsh_significant"	"cand16_harsh_vs_parental_pbs_significant"	"cand16_pbs_vs_parental_harsh_significant"	"cand16_pbs_vs_parental_pbs_significant"	"parental_harsh_vs_parental_pbs_significant"	"significant"	"cand16_harsh_vs_cand16_pbs_ratio"	"cand16_harsh_vs_parental_harsh_ratio"	"cand16_harsh_vs_parental_pbs_ratio"	"cand16_pbs_vs_parental_harsh_ratio"	"cand16_pbs_vs_parental_pbs_ratio"	"parental_harsh_vs_parental_pbs_ratio"	"cand16_harsh_centered"	"cand16_pbs_centered"	"parental_harsh_centered"	"parental_pbs_centered"
"56"	"PCMTD1"	"Q96MG8-2"	0.299439629251262	4.19730353292483e-05	0.299439629251262	6.7289401173389e-06	1	6.7289401173389e-06	0.903	2.76e-06	0.823	1	0.66	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.486	-2.62	0.486	-3.1	0	3.1	-0.411	-0.897	2.21	-0.897
"57"	"PFKP"	"Q01813"	0.999999999999997	0.00393863815610191	0.999999999999997	0.00393863815610189	1	0.00393863815610189	0.941	0.014	0.886	1	0.66	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	3.55e-15	-3.07	3.55e-15	-3.07	0	3.07	-0.768	-0.768	2.31	-0.768
"58"	"PHB2"	"Q99623"	0.391058637315388	0.228486164261836	0.445537688148326	0.714144690296152	0.116839664045893	0.0599576603903517	0.913	0.634	0.845	1	0.0361	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	-1.01	-1.43	0.892	-0.425	1.9	2.32	-0.386	0.62	1.04	-1.28
"59"	"POLDIP2"	"Q9Y2S7"	8.02688400113753e-06	0.961291997918405	7.67834815679222e-07	7.40316074425155e-06	0.149714289574337	7.14989516884614e-07	0.0133	0.876	0.00117	1	0.0538	1	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	2.27	-0.0166	2.78	-2.29	0.511	2.8	1.26	-1.01	1.28	-1.52
"60"	"RCBTB1"	"Q8NDN9"	0.999999999999997	0.00072684743653631	0.999999999999997	0.000726847436536304	1	0.000726847436536304	0.941	0.00144	0.886	1	0.66	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	3.55e-15	-3.73	3.55e-15	-3.73	0	3.73	-0.933	-0.933	2.8	-0.933
"61"	"RPL14"	"P50914"	0.36652404172952	0.635645449193709	0.0186267273827505	0.17798628448965	0.00288703203221704	0.047361866575298	0.91	0.827	0.604	1	6.32e-07	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	-0.653	0.339	1.86	0.992	2.51	1.52	0.386	1.04	0.047	-1.47
"62"	"RPL26"	"P61254"	1.97746408903436e-05	0.999999999999996	0.000968321280583565	1.97746408903434e-05	0.0539770513249415	0.000968321280583558	0.0308	0.88	0.304	1	0.00687	1	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	-4.83	3.55e-15	-3.2	4.83	1.63	-3.2	-2.01	2.82	-2.01	1.19
"63"	"RPL31"	"P62899"	2.01592701690721e-09	0.302595448624527	3.97917651401714e-09	6.14168335239669e-09	0.518609574506715	1.27604593306135e-08	3.29e-09	0.697	6.11e-08	1	0.366	1	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	-7.5	-0.606	-7.12	6.89	0.375	-6.51	-3.81	3.69	-3.2	3.31
"64"	"RPL8"	"P62917"	0.073822412901451	0.270148064328397	0.984779488571264	0.447126343629925	0.0712681554908091	0.262469890437996	0.84	0.672	0.885	1	0.0134	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	-1.76	-1.05	0.0177	0.714	1.78	1.07	-0.698	1.06	0.35	-0.716
"65"	"RPS10"	"P46783"	2.53471650124443e-06	0.224410141286666	3.14322591252841e-06	3.93410767350877e-07	0.891830026526116	4.7755086033011e-07	0.00386	0.629	0.00672	1	0.616	1	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	-5.66	0.958	-5.55	6.61	0.104	-6.51	-2.56	3.09	-3.52	2.99
